original,parsed
????,
?????,
??????,
/,
.,
"00, Place de la Gare",00 Place De La Gare
02210 Montgru Saint Hilaire,Montgru Saint Hilaire 02210
02210 Oulchy le ChÃ¢teau,Oulchy Le Chã Teau 02210
02210 Rozet Saint Albin,Roz 02210 et Saint Albin
02210 Vierzy,Vierzy 02210
02400 Gland,Gland 02400
02470 Neuilly Saint Front,Saint Front Neuilly 02470
02 Juin 1940 (Rue Du),Rue Du 02 Juin 1940
02 Rue Alsace-Lorraine,02 Rue Alsace Lorraine
086 29460 HÃ´pital-Camfrout,086 Hã Pital Camfrout 29460
09 Place de la Pompe,09 Place De La Pompe
0 Lieu Dit Zollhausmatten,0 Lieu Dit Zollhausmatten
0 Lourliere 37160 la Celle-Saint-Avant,0 Lourliere Saint Avant La Celle 37160
0 Rue Eglise (De l'),0 Rue De L' Eglise
1000 Route DÃ©partementale 1090,1000 1090 Route Dã Partementale
1000 Rue de Gaulle (Charles),1000 Rue De Gaulle Charles
1000 Rue Ferdinand Janvier,1000 Rue Ferdinand Janvier
1000 Rue LÃ©on Blum 01500 AmbÃ©rieu-en-Bugey,1000 Rue Lã On Blum Ambã Rieu En Bugey 01500
1000 Rue LiÃ¨me (De La),1000 Rue De La Liã Me
"100/101, Quai de Paludate",100/101 Quai De Paludate
1001 Bis Avenue RÃ©publique (De La),1001 Bis Avenue De La Rã Publique
1001 Promenade de l'Etang 40200 Aureilhan,1001 Promenade De L Etang Aureilhan 40200
1001 Route MegÃ¨ve (De),1001 Route De Megã Ve
1001 Rue Isidore Berthet,1001 Rue Isidore Berth et 
1002 Route du Barroux 84330 Caromb,1002 Route Du Barroux Caromb 84330
1004 Route Douai (De),1004 Route De Douai
1005 Avenue Charles de Gaulle,1005 Avenue De Charles Gaulle
1006 Boulevard Lices (Des),1006 Boulevard Des Lices
1007 Avenue de la Mer 83140 Six-Fours-les-Plages,1007 Avenue De La Mer Six Fours Les Plages 83140
1007 Avenue Juin 1940 (De),1007 Avenue De Juin 1940
1007 Chemin Cassine (De La),1007 Chemin De La Cassine
1007 Route Annecy (D'),1007 Route D' Annecy
100 Ã  106 Rue Mazarin et 3 Ã  9 Rue Borda,100 106 Rue Ã Mazarin et 3 9 Rue Ã Borda
100 AllÃ©e Marguerites (Des),100 Des Allã E Marguerites
100 Avenue Alexandre Marqui,100 Avenue Alexandre Marqui
100 Avenue Arago (FranÃ§ois),100 Avenue Arago Franã Ois
100 Avenue BarthÃ©lemy Buyer,100 Avenue Barthã Lemy Buyer
100 Avenue Champollion,100 Avenue Champollion
100 Avenue de la LibÃ©ration,100 Avenue De La Libã Ration
100 Avenue de la RÃ©publique,100 Avenue De La Rã Publique
100 Avenue de Stalingrad 94120 Fontenay-Sous-Bois,100 Avenue De Stalingrad Fontenay Sous Bois 94120
100 Avenue Domont De,100 Avenue De Domont
100 Avenue Douze FÃ©vrier 1934 (Du),100 1934 Avenue Du Douze Fã Vrier
"100, Avenue du GÃ©nÃ©ral Leclerc",100 Avenue Du Gã Nã Ral Leclerc
100 Avenue Gastellier,100 Avenue Gastellier
100 Avenue GÃ©nÃ©ral de Gaulle (Du),100 Avenue De Du Gã Nã Ral Gaulle
